timestamp,headingDeg,encoderCount
1786866009.1109765,0.29,-96617
1786866009.1360257,0.29,-96651
1786866009.1550193,0.29,-96686
1786866009.176347,0.29,-96720
1786866009.196613,0.29,-96755
1786866009.2178628,0.29,-96791
1786866009.239095,0.30,-96825
1786866009.2586877,0.31,-96860
1786866009.2800865,0.31,-96894
1786866009.3004272,0.31,-96929
1786866009.3206415,0.31,-96963
1786866009.3417523,0.31,-96998
1786866009.3625367,0.30,-97031
1786866009.3831034,0.30,-97066
1786866009.4039419,0.30,-97100
1786866009.4246316,0.30,-97135
1786866009.4444513,0.30,-97169
1786866009.4615028,0.29,-97204
1786866009.4818587,0.29,-97238
1786866009.5024743,0.29,-97274
1786866009.5259993,0.30,-97308
1786866009.5443313,0.30,-97344
1786866009.5643346,0.30,-97378
1786866009.5879953,0.30,-97412
1786866009.608548,0.30,-97446
1786866009.6288514,0.30,-97481
1786866009.6482787,0.30,-97516
1786866009.6701384,0.30,-97551
1786866009.690578,0.30,-97585
1786866009.709567,0.30,-97621
1786866009.731344,0.30,-97657
1786866009.7525437,0.30,-97690
1786866009.767827,0.30,-97725
1786866009.7927449,0.30,-97758
1786866009.808884,0.30,-97793
1786866009.8285718,0.30,-97827
1786866009.8542457,0.30,-97863
1786866009.8703964,0.30,-97898
1786866009.895477,0.30,-97932
1786866009.9123766,0.30,-97967
1786866009.9344623,0.30,-98002
1786866009.9542184,0.30,-98037
1786866009.9745188,0.30,-98071
1786866009.994827,0.31,-98107
1786866010.0161867,0.30,-98142
1786866010.0381114,0.31,-98177
1786866010.057773,0.31,-98212
1786866010.0780709,0.31,-98247
1786866010.1002064,0.31,-98282
1786866010.1195736,0.31,-98317
1786866010.1399012,0.31,-98351
1786866010.1603274,0.31,-98386
1786866010.1823523,0.30,-98421
1786866010.2007964,0.30,-98455
1786866010.219333,0.30,-98489
1786866010.240553,0.29,-98523
1786866010.257887,0.30,-98557
1786866010.2807412,0.29,-98592
1786866010.3014815,0.29,-98628
1786866010.3223746,0.29,-98663
1786866010.343083,0.30,-98698
1786866010.3639655,0.30,-98732
1786866010.3848622,0.30,-98768
1786866010.4057639,0.30,-98803
1786866010.4259584,0.30,-98838
1786866010.447173,0.30,-98873
1786866010.468127,0.30,-98907
1786866010.4889617,0.30,-98942
1786866010.5096467,0.30,-98977
1786866010.5303771,0.30,-99012
1786866010.5502977,0.31,-99046
1786866010.5703666,0.31,-99081
1786866010.591205,0.31,-99116
1786866010.6120486,0.31,-99150
1786866010.632352,0.32,-99184
1786866010.6489897,0.32,-99219
1786866010.6696188,0.32,-99254
1786866010.6907773,0.32,-99289
1786866010.7122402,0.32,-99323
1786866010.7348566,0.32,-99358
1786866010.7553298,0.32,-99393
1786866010.7758062,0.32,-99427
1786866010.7946885,0.31,-99463
1786866010.8151639,0.31,-99498
1786866010.836234,0.31,-99531
1786866010.8582242,0.31,-99567
1786866010.878458,0.30,-99603
1786866010.8983743,0.30,-99638
1786866010.9195726,0.30,-99673
1786866010.9400828,0.30,-99708
1786866010.9605813,0.30,-99743
1786866010.980012,0.30,-99777
1786866010.9997733,0.31,-99812
1786866011.0216932,0.30,-99846
1786866011.042478,0.31,-99881
1786866011.0605333,0.31,-99915
1786866011.077749,0.31,-99949
1786866011.1008165,0.31,-99983
1786866011.1204321,0.31,-100018
1786866011.1418896,0.31,-100053
1786866011.1605093,0.31,-100088
1786866011.185537,0.31,-100124
1786866011.2034256,0.30,-100158
1786866011.2241511,0.30,-100194
1786866011.2454202,0.29,-100228
1786866011.264697,0.29,-100263
1786866011.2866764,0.29,-100298
1786866011.3005724,0.29,-100332
1786866011.3286083,0.29,-100367
1786866011.349065,0.29,-100403
1786866011.3687491,0.29,-100437
1786866011.3889725,0.29,-100473
1786866011.4103596,0.30,-100507
1786866011.4310157,0.30,-100541
1786866011.4520783,0.30,-100576
1786866011.472457,0.30,-100610
1786866011.4922264,0.30,-100645
1786866011.5089457,0.30,-100680
1786866011.533146,0.29,-100713
1786866011.554057,0.30,-100748
1786866011.5716221,0.29,-100781
1786866011.5922418,0.29,-100815
1786866011.6126113,0.29,-100850
1786866011.6338117,0.29,-100883
1786866011.656862,0.29,-100917
1786866011.6770194,0.29,-100953
1786866011.6951554,0.29,-100987
1786866011.7172544,0.29,-101021
1786866011.7385375,0.29,-101056
1786866011.7589014,0.30,-101090
1786866011.7798114,0.30,-101125
1786866011.8000937,0.30,-101159
1786866011.8165755,0.30,-101194
1786866011.8409789,0.30,-101229
1786866011.8615575,0.31,-101264
1786866011.8818777,0.31,-101298
1786866011.8981273,0.31,-101333
1786866011.921876,0.31,-101368
1786866011.9428957,0.30,-101403
1786866011.960637,0.30,-101437
1786866011.9833806,0.30,-101472
1786866012.002097,0.30,-101508
1786866012.0253055,0.30,-101542
1786866012.0439897,0.30,-101577
1786866012.0653932,0.30,-101611
1786866012.0868924,0.30,-101646
1786866012.107123,0.30,-101681
1786866012.1275973,0.30,-101716
1786866012.1479125,0.30,-101750
1786866012.168338,0.30,-101785
1786866012.1895242,0.30,-101820
1786866012.2099488,0.31,-101855
1786866012.227186,0.31,-101890
1786866012.2508044,0.31,-101925
1786866012.27085,0.31,-101960
1786866012.2866385,0.31,-101994
1786866012.310007,0.31,-102029
1786866012.328298,0.31,-102064
1786866012.3529048,0.31,-102099
1786866012.370226,0.31,-102134
1786866012.3910022,0.30,-102168
1786866012.4118574,0.30,-102203
1786866012.4323804,0.30,-102238
1786866012.4552634,0.30,-102272
1786866012.4755635,0.30,-102307
1786866012.496167,0.30,-102342
1786866012.515764,0.30,-102376
1786866012.5296814,0.30,-102411
1786866012.556201,0.31,-102446
1786866012.5783765,0.31,-102480
1786866012.5977466,0.31,-102515
1786866012.6185966,0.31,-102550
1786866012.639455,0.31,-102585
1786866012.6603072,0.31,-102619
1786866012.6772866,0.32,-102654
1786866012.6964154,0.31,-102690
1786866012.7171333,0.31,-102724
1786866012.7421281,0.31,-102759
1786866012.758884,0.31,-102795
1786866012.7833612,0.31,-102830
1786866012.7999122,0.31,-102864
1786866012.8215127,0.30,-102899
1786866012.8436472,0.30,-102934
1786866012.8652549,0.30,-102970
1786866012.8837345,0.30,-103005
1786866012.9042044,0.30,-103038
1786866012.9264262,0.29,-103073
1786866012.945848,0.29,-103108
1786866012.9674795,0.29,-103143
1786866012.9882965,0.29,-103178
1786866013.007514,0.29,-103213
1786866013.0289297,0.30,-103249
1786866013.0461953,0.30,-103283
1786866013.069917,0.30,-103319
1786866013.0907211,0.30,-103353
1786866013.1077292,0.30,-103388
1786866013.1276906,0.31,-103423
1786866013.1476865,0.31,-103458
1786866013.1723945,0.31,-103492
1786866013.1890874,0.31,-103527
1786866013.2057457,0.31,-103561
1786866013.2301314,0.31,-103596
1786866013.254389,0.31,-103632
1786866013.2733808,0.31,-103667
1786866013.2936194,0.31,-103702
1786866013.3144937,0.31,-103737
1786866013.3354197,0.32,-103772
1786866013.3559349,0.32,-103806
1786866013.376235,0.32,-103841
1786866013.39752,0.32,-103876
1786866013.4106908,0.31,-103911
1786866013.4381108,0.31,-103945
1786866013.458691,0.30,-103980
1786866013.4754605,0.30,-104014
1786866013.4983802,0.30,-104049
1786866013.5158734,0.30,-104082
1786866013.5363042,0.30,-104116
1786866013.5608797,0.30,-104151
1786866013.581863,0.31,-104185
1786866013.600085,0.31,-104220
1786866013.6227553,0.31,-104254
1786866013.6404657,0.31,-104289
1786866013.6613274,0.31,-104325
1786866013.6842124,0.30,-104359
1786866013.6950011,0.30,-104394
1786866013.7228875,0.30,-104429
1786866013.7454605,0.30,-104464
1786866013.7661903,0.30,-104499
1786866013.7863111,0.29,-104534
1786866013.806709,0.29,-104569
1786866013.8279593,0.29,-104603
1786866013.8486466,0.29,-104638
1786866013.8653667,0.29,-104674
1786866013.8893678,0.29,-104708
1786866013.9095855,0.29,-104743
1786866013.930041,0.30,-104778
1786866013.9464138,0.30,-104813
1786866013.9711676,0.30,-104847
1786866013.9900997,0.30,-104883
1786866014.0085738,0.30,-104918
1786866014.032323,0.30,-104953
1786866014.0531836,0.30,-104987
1786866014.071408,0.30,-105022
1786866014.0933611,0.30,-105056
1786866014.1129048,0.30,-105091
1786866014.1335995,0.31,-105125
1786866014.155466,0.31,-105160
1786866014.1757586,0.31,-105195
1786866014.1961596,0.31,-105230
1786866014.2170334,0.31,-105265
1786866014.236694,0.31,-105299
1786866014.256535,0.31,-105334
1786866014.278004,0.30,-105369
1786866014.2989266,0.30,-105404
1786866014.319638,0.30,-105439
1786866014.3350697,0.31,-105474
1786866014.3560765,0.31,-105509
1786866014.3766365,0.31,-105544
1786866014.4008408,0.31,-105577
1786866014.4216223,0.30,-105612
1786866014.4418507,0.31,-105646
1786866014.462657,0.31,-105680
1786866014.479836,0.31,-105713
1786866014.5031605,0.31,-105747
1786866014.522652,0.31,-105782
1786866014.5445988,0.32,-105818
1786866014.5643218,0.32,-105853
1786866014.585033,0.32,-105888
1786866014.6061366,0.33,-105924
1786866014.6265357,0.32,-105961
1786866014.6461504,0.32,-105996
1786866014.667723,0.32,-106031
1786866014.6881862,0.32,-106065
1786866014.7086246,0.32,-106100
1786866014.7269156,0.32,-106135
1786866014.749371,0.32,-106169
1786866014.7684743,0.32,-106202
1786866014.7866535,0.32,-106237
1786866014.8094347,0.31,-106271
1786866014.8284388,0.31,-106305
1786866014.848811,0.31,-106339
1786866014.8698509,0.31,-106374
1786866014.8900511,0.31,-106408
1786866014.9129517,0.31,-106443
1786866014.9307673,0.32,-106477
1786866014.953142,0.31,-106512
1786866014.9736662,0.32,-106546
1786866014.9940083,0.32,-106581
1786866015.015198,0.32,-106616
1786866015.0366485,0.33,-106650
1786866015.0556018,0.33,-106685
1786866015.0764282,0.33,-106719
1786866015.0972714,0.33,-106754
1786866015.1181352,0.33,-106789
1786866015.1357434,0.33,-106825
1786866015.1592033,0.32,-106859
1786866015.1770627,0.32,-106895
1786866015.195716,0.32,-106930
1786866015.2168446,0.31,-106964
1786866015.2373443,0.31,-107000
1786866015.261343,0.31,-107035
1786866015.2817132,0.31,-107069
1786866015.3018541,0.31,-107104
1786866015.3205886,0.30,-107141
1786866015.3407266,0.30,-107173
1786866015.3621552,0.30,-107209
1786866015.382859,0.31,-107243
1786866015.4039233,0.31,-107278
1786866015.4245312,0.32,-107315
1786866015.4456203,0.32,-107349
1786866015.465243,0.32,-107384
1786866015.4869854,0.32,-107419
1786866015.5040145,0.32,-107453
1786866015.5240774,0.32,-107488
1786866015.5485451,0.32,-107523
1786866015.5662603,0.32,-107558
1786866015.584395,0.32,-107593
1786866015.6081982,0.32,-107627
1786866015.6300008,0.31,-107662
1786866015.6472228,0.31,-107697
1786866015.6678126,0.31,-107730
1786866015.690958,0.31,-107765
1786866015.7094536,0.31,-107800
1786866015.7325706,0.30,-107834
1786866015.7529588,0.30,-107869
1786866015.7721927,0.30,-107904
1786866015.7927146,0.29,-107939
1786866015.8123972,0.29,-107972
1786866015.8344524,0.29,-108007
1786866015.855166,0.30,-108042
1786866015.8761618,0.30,-108076
1786866015.8957233,0.29,-108111
1786866015.9169872,0.30,-108146
1786866015.9337614,0.30,-108181
1786866015.9582016,0.30,-108216
1786866015.9761968,0.31,-108250
1786866015.9942317,0.31,-108285
1786866016.0180328,0.31,-108320
1786866016.0401475,0.31,-108354
1786866016.058669,0.31,-108388
1786866016.0774782,0.31,-108423
1786866016.0985074,0.31,-108457
1786866016.121444,0.31,-108492
1786866016.1404939,0.31,-108527
1786866016.1629195,0.31,-108562
1786866016.181655,0.31,-108597
1786866016.2035027,0.31,-108633
1786866016.2240555,0.31,-108667
1786866016.2442968,0.31,-108703
1786866016.2641146,0.31,-108739
1786866016.2857459,0.31,-108773
1786866016.3053622,0.31,-108807
1786866016.323364,0.31,-108843
1786866016.347048,0.32,-108877
1786866016.3672564,0.32,-108912
1786866016.3827887,0.32,-108947
1786866016.4062912,0.33,-108982
1786866016.4250739,0.33,-109017
1786866016.4483085,0.33,-109052
1786866016.4662368,0.33,-109087
1786866016.4891126,0.33,-109122
1786866016.5085104,0.33,-109157
1786866016.5287488,0.33,-109193
1786866016.5519395,0.34,-109227
1786866016.5703788,0.33,-109262
1786866016.590047,0.34,-109297
1786866016.6120636,0.33,-109331
1786866016.6338418,0.33,-109367
1786866016.6537535,0.33,-109401
1786866016.673341,0.32,-109436
1786866016.6942062,0.32,-109470
1786866016.7150223,0.33,-109504
1786866016.7358744,0.32,-109538
1786866016.7566588,0.32,-109571
1786866016.7774253,0.32,-109605
1786866016.79748,0.32,-109638
1786866016.8150437,0.32,-109674
1786866016.8384387,0.32,-109708
1786866016.859141,0.32,-109741
1786866016.8752325,0.32,-109774
1786866016.8999584,0.32,-109808
1786866016.9164805,0.32,-109842
1786866016.9409962,0.32,-109876
1786866016.9571402,0.32,-109911
1786866016.981695,0.33,-109945
1786866016.99854,0.33,-109980
1786866017.0227323,0.33,-110014
1786866017.040129,0.33,-110048
1786866017.0640056,0.33,-110083
1786866017.0828097,0.33,-110117
1786866017.1049066,0.33,-110156
1786866017.1249893,0.33,-110189
1786866017.1454628,0.33,-110224
1786866017.1614988,0.33,-110257
1786866017.187135,0.33,-110292
1786866017.206162,0.34,-110325
1786866017.2229264,0.34,-110360
1786866017.2466476,0.33,-110394
1786866017.268562,0.33,-110429
1786866017.2858372,0.33,-110461
1786866017.3065042,0.34,-110494
1786866017.3295324,0.33,-110528
1786866017.3491662,0.33,-110561
1786866017.3697612,0.33,-110595
1786866017.389642,0.33,-110628
1786866017.409297,0.33,-110662
1786866017.4319956,0.33,-110695
1786866017.4532971,0.34,-110727
1786866017.4730933,0.34,-110760
1786866017.4934635,0.33,-110798
1786866017.5147579,0.33,-110832
1786866017.5351286,0.33,-110867
1786866017.5551336,0.34,-110902
1786866017.57223,0.34,-110936
1786866017.596787,0.34,-110971
1786866017.611834,0.34,-111004
1786866017.6323044,0.34,-111039
1786866017.6534963,0.34,-111073
1786866017.67857,0.34,-111110
1786866017.69868,0.34,-111144
1786866017.7162428,0.34,-111179
1786866017.7369387,0.34,-111212
1786866017.760811,0.34,-111249
1786866017.7788026,0.34,-111284
1786866017.79862,0.34,-111318
1786866017.8201544,0.34,-111351
1786866017.8405743,0.33,-111385
1786866017.8622491,0.33,-111421
1786866017.8827593,0.33,-111455
1786866017.9031088,0.33,-111490
1786866017.9243734,0.33,-111526
1786866017.9447885,0.33,-111560
1786866017.9647286,0.33,-111595
1786866017.9855752,0.33,-111629
1786866018.0060647,0.33,-111663
1786866018.0264676,0.33,-111698
1786866018.0416458,0.34,-111733
1786866018.0652933,0.34,-111768
1786866018.0841138,0.34,-111801
1786866018.104921,0.35,-111837
1786866018.1256845,0.35,-111871
1786866018.14608,0.35,-111905
1786866018.1673317,0.35,-111940
1786866018.190379,0.35,-111973
1786866018.2089424,0.35,-112009
1786866018.2312994,0.35,-112042
1786866018.2509353,0.35,-112074
1786866018.2721164,0.35,-112110
1786866018.2929718,0.35,-112144
1786866018.313299,0.35,-112176
1786866018.334033,0.35,-112209
1786866018.3544238,0.35,-112242
1786866018.3714218,0.35,-112276
1786866018.389358,0.35,-112310
1786866018.4131799,0.34,-112345
1786866018.4310641,0.35,-112378
1786866018.456085,0.35,-112411
1786866018.472747,0.35,-112445
1786866018.4924319,0.34,-112480
1786866018.5149379,0.35,-112513
1786866018.5353801,0.35,-112547
1786866018.5560925,0.35,-112581
1786866018.5793083,0.35,-112612
1786866018.597759,0.34,-112646
1786866018.620889,0.34,-112681
1786866018.6394417,0.34,-112711
1786866018.661826,0.35,-112747
1786866018.6811302,0.35,-112782
1786866018.7027633,0.35,-112815
1786866018.7228608,0.35,-112848
1786866018.7433367,0.35,-112880
1786866018.7596393,0.35,-112914
1786866018.7844884,0.36,-112947
1786866018.8019502,0.36,-112981
1786866018.8257189,0.35,-113016
1786866018.840323,0.35,-113048
1786866018.8616273,0.36,-113082
1786866018.8853447,0.36,-113116
1786866018.905878,0.36,-113152
1786866018.9269524,0.36,-113185
1786866018.94809,0.36,-113217
1786866018.9661255,0.36,-113251
1786866018.9866126,0.36,-113284
1786866019.0096285,0.36,-113318
1786866019.0301104,0.36,-113354
1786866019.0478773,0.36,-113387
1786866019.0710678,0.36,-113420
1786866019.0908947,0.36,-113454
1786866019.1107855,0.36,-113490
1786866019.1324153,0.36,-113524
