timestamp,headingDeg,encoderCount
1786866491.5166943,-0.02,-18008
1786866491.5378087,-0.02,-18056
1786866491.5576475,-0.02,-18084
1786866491.5782106,-0.02,-18055
1786866491.5939882,-0.02,-18066
1786866491.619099,-0.01,-18088
1786866491.639438,-0.01,-18103
1786866491.6599927,-0.01,-18166
1786866491.6805997,-0.01,-18203
1786866491.7010574,-0.01,-18292
1786866491.7218347,-0.01,-18345
1786866491.7424858,-0.01,-18393
1786866491.7628903,-0.00,-18480
1786866491.7829213,-0.00,-18535
1786866491.803385,-0.01,-18598
1786866491.824461,-0.01,-18696
1786866491.8449244,-0.01,-18767
1786866491.8650076,-0.01,-18831
1786866491.8861115,-0.01,-18892
1786866491.9063618,-0.01,-18912
1786866491.9264677,-0.00,-18934
1786866491.9467177,-0.00,-18957
1786866491.9680088,-0.00,-18979
1786866491.9878976,0.00,-19001
1786866492.0084596,0.00,-19023
1786866492.0291438,0.00,-19046
1786866492.0497448,0.00,-19068
1786866492.069878,0.00,-19090
1786866492.0905378,0.00,-19113
1786866492.1105924,0.00,-19135
1786866492.1310854,0.00,-19157
1786866492.1518717,0.00,-19178
1786866492.1728415,0.00,-19200
1786866492.1926417,0.00,-19221
1786866492.2136724,0.00,-19243
1786866492.234322,0.01,-19265
1786866492.254216,0.00,-19285
1786866492.274587,0.01,-19304
1786866492.295931,0.01,-19325
1786866492.3159723,0.01,-19333
1786866492.336244,0.01,-19354
1786866492.3545923,0.01,-19371
1786866492.377279,0.01,-19390
1786866492.3980587,0.01,-19394
1786866492.4183438,0.01,-19408
1786866492.4387033,0.01,-19432
1786866492.4593446,0.01,-19450
1786866492.4796126,0.01,-19464
1786866492.4999056,0.01,-19483
1786866492.5208535,0.01,-19501
1786866492.5413399,0.01,-19522
1786866492.5614877,0.00,-19544
1786866492.5824323,0.01,-19566
1786866492.6023932,0.01,-19586
1786866492.623494,0.01,-19605
1786866492.6437979,0.01,-19626
1786866492.664248,0.01,-19645
1786866492.6848354,0.01,-19662
1786866492.705146,0.01,-19685
1786866492.7253988,0.01,-19705
1786866492.745866,0.01,-19723
1786866492.766061,0.01,-19743
1786866492.7861364,0.01,-19765
1786866492.8076825,0.01,-19782
1786866492.8277624,0.01,-19803
1786866492.8485408,0.01,-19824
1786866492.869067,0.01,-19845
1786866492.887938,0.01,-19865
1786866492.909743,0.01,-19882
1786866492.9303744,0.01,-19899
1786866492.9516177,0.01,-19918
1786866492.9715123,0.01,-19941
1786866492.9918408,0.01,-19960
1786866493.0123858,0.01,-19981
1786866493.0330236,0.01,-20002
1786866493.053329,0.01,-20023
1786866493.073461,0.01,-20045
1786866493.0944533,0.01,-20066
1786866493.1147742,0.01,-20090
1786866493.131686,0.01,-20112
1786866493.1554332,0.01,-20134
1786866493.1759586,0.01,-20157
1786866493.1965005,0.01,-20177
1786866493.2171144,0.01,-20199
1786866493.237723,0.01,-20221
1786866493.2576401,0.01,-20243
1786866493.2778854,0.01,-20264
1786866493.2991898,0.01,-20284
1786866493.3193524,0.01,-20306
1786866493.339755,0.01,-20329
1786866493.3603106,0.01,-20351
1786866493.380714,0.01,-20373
1786866493.4014058,0.01,-20394
1786866493.4219034,0.01,-20415
1786866493.4419336,0.01,-20437
1786866493.4630847,0.00,-20459
1786866493.4835684,0.01,-20481
1786866493.5038536,0.01,-20503
1786866493.5247426,0.01,-20524
1786866493.5444012,0.01,-20546
1786866493.5651608,0.01,-20568
1786866493.5855327,0.01,-20590
1786866493.6061559,0.01,-20611
