timestamp,whisker
1789351789.530781,2381
1789351789.556918,2381
1789351789.5660355,2381
1789351789.5933049,2381
1789351789.6166472,2382
1789351789.637194,2379
1789351789.6564894,2379
1789351789.6768496,2380
1789351789.6970837,2380
1789351789.7164068,2380
1789351789.7328153,2380
1789351789.7566674,2383
1789351789.7745519,2377
1789351789.7964752,2380
1789351789.8162944,2381
1789351789.8368428,2379
1789351789.8572836,2380
1789351789.8717308,2379
1789351789.8966312,2382
1789351789.9133058,2380
1789351789.9373212,2380
1789351789.9575744,2380
1789351789.9769928,2380
1789351789.996059,2381
1789351790.0169349,2370
1789351790.0372758,2380
1789351790.0531065,2382
1789351790.0733433,2379
1789351790.097453,2369
1789351790.1169124,2374
1789351790.1375308,2375
1789351790.1486444,2380
1789351790.1773314,2379
1789351790.1971602,2379
1789351790.2176888,2379
1789351790.2328103,2379
1789351790.2571225,2378
1789351790.2764804,2381
1789351790.2973151,2379
1789351790.315946,2383
1789351790.3369868,2382
1789351790.357711,2377
1789351790.3779433,2376
1789351790.392565,2377
1789351790.4173234,2379
1789351790.434038,2377
1789351790.4580083,2381
1789351790.4765754,2378
1789351790.4973423,2378
1789351790.5181334,2379
1789351790.5372162,2383
1789351790.557963,2375
1789351790.5733998,2380
1789351790.5941865,2371
1789351790.6146288,2373
1789351790.6356237,2382
1789351790.6581137,2382
1789351790.6780043,2379
1789351790.697971,2387
1789351790.7177086,2380
1789351790.7382734,2378
1789351790.7538495,2386
1789351790.774304,2377
1789351790.7954524,2381
1789351790.8159297,2379
1789351790.8372238,2379
1789351790.8580306,2379
1789351790.878436,2376
1789351790.8982723,2380
1789351790.9131563,2376
1789351790.9343657,2378
1789351790.9548483,2381
1789351790.9758623,2378
1789351790.9968746,2380
1789351791.0177908,2366
1789351791.0383165,2379
1789351791.0578766,2405
1789351791.0786967,2380
1789351791.0941257,2379
1789351791.114588,2399
1789351791.1354756,2377
1789351791.1561203,2374
1789351791.1775303,2364
1789351791.1983533,2376
1789351791.2186282,2380
1789351791.2384243,2377
1789351791.2533681,2406
1789351791.2773972,2375
1789351791.2969847,2382
1789351791.3188145,2380
1789351791.3366616,2378
1789351791.3573534,2378
1789351791.378365,2378
1789351791.3981001,2379
1789351791.4183433,2375
1789351791.4387,2386
1789351791.4547734,2381
1789351791.4778163,2372
1789351791.4984024,2378
1789351791.5171053,2373
1789351791.5378134,2379
1789351791.5582666,2376
1789351791.5786111,2381
1789351791.5935194,2375
1789351791.618821,2379
1789351791.6378055,2377
1789351791.6583476,2376
1789351791.6791756,2378
1789351791.6990173,2375
1789351791.7183475,2377
1789351791.738256,2377
1789351791.7591028,2374
1789351791.7792299,2377
1789351791.7948754,2376
1789351791.8191853,2378
1789351791.8387027,2377
1789351791.859363,2376
1789351791.8792088,2376
1789351791.8990324,2375
1789351791.9187915,2376
1789351791.935026,2378
1789351791.955349,2373
1789351791.9760382,2377
1789351791.9968908,2376
1789351792.017767,2376
1789351792.0393503,2376
1789351792.058187,2375
1789351792.0793135,2378
1789351792.0992975,2374
1789351792.1138635,2377
1789351792.139215,2376
1789351792.1560302,2376
1789351792.178889,2377
1789351792.199715,2380
1789351792.2195535,2373
1789351792.2398257,2380
1789351792.259096,2377
1789351792.2797673,2377
1789351792.2947466,2378
1789351792.3173015,2375
1789351792.3366916,2377
1789351792.358112,2373
1789351792.378168,2377
1789351792.3986197,2376
1789351792.4197297,2378
1789351792.4395509,2375
1789351792.4548304,2371
1789351792.4756215,2371
1789351792.4970818,2375
1789351792.5192175,2376
1789351792.5380812,2374
1789351792.5592844,2376
1789351792.5794265,2378
1789351792.599233,2377
1789351792.6201537,2379
1789351792.6399102,2378
1789351792.6557527,2375
1789351792.6766362,2377
1789351792.6996992,2378
1789351792.7184546,2375
1789351792.7394383,2379
1789351792.7594275,2375
1789351792.7797842,2379
1789351792.8000457,2378
1789351792.8154995,2378
1789351792.8398979,2378
1789351792.8572428,2373
1789351792.880165,2379
1789351792.898955,2376
1789351792.919451,2377
1789351792.940032,2377
1789351792.9603927,2377
1789351792.980374,2376
1789351792.9961617,2380
1789351793.0168953,2384
1789351793.0402892,2377
1789351793.059782,2374
1789351793.0796554,2380
1789351793.1002343,2379
1789351793.1199646,2371
1789351793.1409116,2380
1789351793.160645,2379
1789351793.179431,2376
1789351793.1999245,2378
1789351793.220287,2375
1789351793.2396002,2378
1789351793.2595487,2378
1789351793.2798927,2381
1789351793.3006697,2397
1789351793.3208466,2375
1789351793.3406413,2376
1789351793.3609865,2378
1789351793.3779192,2377
1789351793.4009502,2379
1789351793.4195895,2379
1789351793.4404397,2380
1789351793.4607658,2378
1789351793.4812255,2385
1789351793.5010316,2377
1789351793.5168128,2377
1789351793.5406892,2378
1789351793.561227,2378
1789351793.5809472,2375
1789351793.6004186,2378
1789351793.6210341,2382
1789351793.640729,2380
1789351793.655804,2375
1789351793.681213,2375
1789351793.6975102,2378
1789351793.7213027,2376
1789351793.7391481,2377
1789351793.7594695,2379
1789351793.7809608,2375
1789351793.8006258,2388
1789351793.8212595,2375
1789351793.8361068,2376
1789351793.8608818,2379
1789351793.8779671,2412
1789351793.9015257,2377
1789351793.9194663,2376
1789351793.9402995,2376
1789351793.9614918,2382
1789351793.9808924,2377
1789351794.0010204,2373
1789351794.0168378,2380
1789351794.040835,2369
1789351794.05837,2379
1789351794.0813072,2379
1789351794.0998218,2376
1789351794.1204078,2379
1789351794.1416059,2375
1789351794.1613612,2379
1789351794.1767564,2376
1789351794.1970801,2377
1789351794.2175903,2377
1789351794.2417355,2376
1789351794.2618601,2387
1789351794.281757,2373
1789351794.3014357,2372
1789351794.321144,2374
1789351794.3421357,2374
1789351794.3618777,2376
1789351794.3777308,2375
1789351794.4020145,2378
1789351794.4193802,2374
1789351794.4417946,2374
1789351794.4608712,2380
1789351794.481889,2377
1789351794.5017025,2376
1789351794.520028,2378
1789351794.5374084,2377
1789351794.562216,2380
1789351794.5790913,2371
1789351794.6000845,2381
1789351794.6201727,2381
1789351794.6414502,2376
1789351794.661098,2378
1789351794.682391,2378
1789351794.7020497,2378
1789351794.7181005,2379
1789351794.7413235,2376
1789351794.7596028,2388
1789351794.781941,2377
1789351794.8013077,2375
1789351794.822046,2377
1789351794.8421032,2373
1789351794.8623998,2373
1789351794.8779368,2380
1789351794.9024768,2378
1789351794.919314,2379
1789351794.9425378,2378
1789351794.961643,2376
1789351794.9818423,2378
1789351795.002415,2377
1789351795.0164666,2377
1789351795.037671,2380
1789351795.059319,2373
1789351795.0819736,2379
1789351795.1025584,2377
1789351795.122729,2379
1789351795.1413991,2379
1789351795.162132,2376
1789351795.1827722,2388
1789351795.2029946,2377
1789351795.2227576,2378
1789351795.2386968,2379
1789351795.262881,2375
1789351795.2802818,2378
1789351795.30138,2376
1789351795.32196,2384
1789351795.3428059,2378
1789351795.3628044,2378
1789351795.3825653,2379
1789351795.4029365,2378
1789351795.4224825,2379
1789351795.4418309,2379
1789351795.4625769,2379
1789351795.4816933,2378
1789351795.5029008,2368
1789351795.52235,2380
1789351795.5430334,2381
1789351795.5616093,2378
1789351795.578885,2378
1789351795.602495,2377
1789351795.620697,2380
1789351795.643248,2390
1789351795.6621501,2380
1789351795.6827173,2373
1789351795.7029858,2378
1789351795.7175558,2370
1789351795.7432494,2378
1789351795.7596326,2379
1789351795.783381,2373
1789351795.801065,2367
