timestamp,whisker
1789537274.1636543,2413
1789537274.1870098,2424
1789537274.1985714,2421
1789537274.2270174,2419
1789537274.2335112,2419
1789537274.2662234,2425
1789537274.2750764,2419
1789537274.3061678,2411
1789537274.3268025,2426
1789537274.3468146,2423
1789537274.3652186,2417
1789537274.386962,2418
1789537274.4073298,2421
1789537274.4272814,2425
1789537274.4462411,2415
1789537274.4663675,2418
1789537274.4870539,2428
1789537274.506688,2424
1789537274.526671,2415
1789537274.5471752,2414
1789537274.567531,2422
1789537274.5874612,2420
1789537274.6022527,2412
1789537274.6267858,2423
1789537274.6434755,2423
1789537274.6670637,2422
1789537274.6849725,2416
1789537274.7058809,2427
1789537274.7265265,2426
1789537274.7475345,2417
1789537274.767628,2417
1789537274.787601,2427
1789537274.807162,2427
1789537274.8274581,2418
1789537274.8443666,2419
1789537274.867253,2426
1789537274.8876317,2420
1789537274.9061248,2404
1789537274.9259694,2423
1789537274.9433088,2426
1789537274.966511,2419
1789537274.9851859,2419
1789537275.0072777,2424
1789537275.0260422,2422
1789537275.0456743,2420
1789537275.0670512,2414
1789537275.0872307,2426
1789537275.107679,2419
1789537275.1275036,2424
1789537275.1452327,2414
1789537275.1678166,2425
1789537275.1773822,2413
1789537275.2080057,2418
1789537275.2279005,2415
1789537275.2473783,2424
1789537275.2677636,2418
1789537275.2881362,2414
1789537275.3029351,2426
1789537275.3235562,2416
1789537275.348002,2417
1789537275.366169,2410
1789537275.3884797,2426
1789537275.4070876,2423
1789537275.4279866,2413
1789537275.4478636,2419
1789537275.4662817,2424
1789537275.483826,2421
1789537275.5080616,2415
1789537275.5279942,2418
1789537275.5482934,2424
1789537275.5671074,2420
1789537275.5876365,2415
1789537275.6075115,2429
1789537275.6283803,2425
1789537275.6434588,2420
1789537275.6667852,2417
1789537275.6849766,2426
1789537275.705753,2418
1789537275.7268903,2419
1789537275.74767,2417
1789537275.768261,2424
1789537275.7883072,2424
1789537275.802994,2415
1789537275.823869,2420
1789537275.8445923,2424
1789537275.8670661,2422
1789537275.8868086,2417
1789537275.9071229,2413
1789537275.9280045,2426
1789537275.9487784,2419
1789537275.9685843,2418
1789537275.9883933,2424
1789537276.0047956,2423
1789537276.0250614,2422
1789537276.0469584,2415
1789537276.0674357,2425
1789537276.0879042,2419
1789537276.1088483,2420
1789537276.1226053,2418
1789537276.14688,2423
1789537276.1672604,2423
1789537276.1867747,2418
1789537276.2085378,2421
1789537276.228892,2422
1789537276.2483804,2420
1789537276.26919,2419
1789537276.2889707,2423
1789537276.3086033,2426
1789537276.3286974,2416
1789537276.3486085,2420
1789537276.3682706,2423
1789537276.388267,2426
1789537276.406368,2411
1789537276.428587,2416
1789537276.4489222,2423
1789537276.4690523,2422
1789537276.4893174,2414
1789537276.5059154,2414
1789537276.5288231,2427
1789537276.545898,2424
1789537276.5685537,2417
1789537276.5873382,2418
1789537276.6083758,2423
1789537276.6284575,2419
1789537276.6422553,2416
1789537276.669406,2419
1789537276.6843967,2422
1789537276.7095644,2422
1789537276.7265942,2418
1789537276.7495346,2428
1789537276.768113,2423
1789537276.78937,2419
1789537276.809267,2416
1789537276.8290722,2424
1789537276.8444097,2423
1789537276.8688416,2411
1789537276.8862324,2420
1789537276.9097486,2426
1789537276.9278562,2424
1789537276.9485538,2408
1789537276.969637,2422
1789537276.9883125,2423
1789537277.0100262,2423
1789537277.024796,2415
1789537277.0456753,2422
1789537277.0699232,2428
1789537277.0805287,2418
1789537277.109919,2419
1789537277.1151304,2421
1789537277.1498091,2426
1789537277.1569457,2417
1789537277.1899366,2412
1789537277.1975467,2423
1789537277.2300444,2424
1789537277.240372,2421
1789537277.2701056,2416
1789537277.27579,2425
1789537277.3097637,2419
1789537277.3296347,2417
1789537277.3498342,2424
1789537277.365316,2424
1789537277.3893578,2426
1789537277.4067676,2410
1789537277.4291136,2427
1789537277.4502747,2420
1789537277.4619708,2418
1789537277.4901004,2417
1789537277.4972727,2430
1789537277.5302737,2422
1789537277.5389178,2418
1789537277.5693622,2415
1789537277.5798528,2423
1789537277.6104476,2427
1789537277.6273031,2414
1789537277.6504598,2421
1789537277.6568527,2422
1789537277.6900454,2423
1789537277.698095,2409
1789537277.7305632,2427
1789537277.7467337,2424
1789537277.7705834,2423
