timestamp,whisker
1789536776.4052432,2499
1789536776.429598,2501
1789536776.4495642,2501
1789536776.4689398,2498
1789536776.4841063,2497
1789536776.5096033,2498
1789536776.5256689,2497
1789536776.5487516,2500
1789536776.5673692,2500
1789536776.588117,2497
1789536776.609454,2498
1789536776.6297877,2498
1789536776.6496181,2498
1789536776.6689856,2495
1789536776.6891882,2498
1789536776.7061934,2496
1789536776.729265,2498
1789536776.7478473,2496
1789536776.7682428,2500
1789536776.7895405,2499
1789536776.809824,2498
1789536776.824395,2500
1789536776.849401,2475
1789536776.8675244,2506
1789536776.8899972,2500
1789536776.908737,2501
1789536776.9285219,2499
1789536776.9487374,2497
1789536776.9700904,2497
1789536776.9899986,2499
1789536777.0100794,2497
1789536777.0300848,2498
1789536777.0462272,2499
1789536777.0677865,2501
1789536777.0885298,2496
1789536777.1092455,2498
1789536777.1298394,2500
1789536777.1500854,2503
1789536777.1648657,2499
1789536777.1902242,2491
1789536777.2061703,2499
1789536777.2301207,2502
1789536777.2478225,2499
1789536777.2698035,2500
1789536777.289553,2501
1789536777.3101773,2496
1789536777.3304946,2496
1789536777.3450184,2499
1789536777.3705096,2498
1789536777.3893123,2499
1789536777.4103246,2499
1789536777.428246,2499
1789536777.4502547,2501
1789536777.470053,2503
1789536777.4902282,2500
1789536777.5107791,2505
1789536777.5303936,2492
1789536777.5504675,2498
1789536777.5677166,2501
1789536777.590361,2498
1789536777.608793,2500
1789536777.6296527,2497
1789536777.650492,2499
1789536777.6705925,2499
1789536777.685445,2501
1789536777.7060626,2497
1789536777.7274473,2497
1789536777.7478316,2499
1789536777.7685652,2498
1789536777.7896378,2500
1789536777.8104181,2499
1789536777.8300712,2498
1789536777.8509336,2498
1789536777.865778,2497
1789536777.8866036,2498
1789536777.907914,2497
1789536777.9284115,2500
1789536777.9507492,2493
1789536777.9708521,2497
1789536777.9897425,2497
1789536778.0110638,2498
1789536778.0310218,2502
1789536778.0488331,2499
1789536778.069359,2500
1789536778.0908465,2499
1789536778.1088102,2495
1789536778.130607,2500
1789536778.1499815,2498
1789536778.1713219,2495
1789536778.191049,2498
1789536778.2107146,2500
1789536778.2262905,2498
1789536778.250464,2499
1789536778.2683966,2498
1789536778.2906353,2501
1789536778.3096116,2495
1789536778.3306062,2500
1789536778.3508132,2501
1789536778.3709874,2496
1789536778.3865979,2499
1789536778.4092684,2495
1789536778.4275584,2498
1789536778.4511132,2498
1789536778.4698658,2500
1789536778.4907107,2501
1789536778.5115945,2501
1789536778.5321012,2501
1789536778.5467548,2500
1789536778.5712395,2499
1789536778.5884457,2502
1789536778.6111393,2499
1789536778.6315317,2499
1789536778.650197,2498
1789536778.67083,2503
1789536778.6918564,2488
1789536778.7117126,2496
1789536778.7266257,2497
1789536778.7517378,2499
1789536778.7684095,2501
1789536778.791861,2502
1789536778.8114123,2499
1789536778.8313735,2498
1789536778.8513608,2492
1789536778.8714654,2498
1789536778.886483,2498
1789536778.911652,2498
1789536778.9280763,2500
1789536778.951941,2497
1789536778.9696023,2494
1789536778.9921048,2498
1789536779.0113218,2500
1789536779.0321503,2497
1789536779.052278,2501
1789536779.0669875,2501
1789536779.092302,2502
1789536779.1086152,2498
1789536779.131396,2499
1789536779.1502714,2499
1789536779.1711617,2497
1789536779.192121,2503
1789536779.2058463,2499
1789536779.2265837,2500
1789536779.2476099,2500
1789536779.2724824,2501
1789536779.2823763,2497
1789536779.3126342,2495
1789536779.3302622,2501
1789536779.351663,2499
1789536779.3724594,2498
1789536779.3924696,2498
1789536779.4113312,2501
1789536779.427814,2501
1789536779.4487195,2497
1789536779.4697108,2493
1789536779.4903529,2499
1789536779.5126045,2498
1789536779.5309772,2497
1789536779.552174,2499
1789536779.5726926,2499
1789536779.587631,2499
1789536779.6128013,2498
1789536779.6293397,2498
1789536779.6522944,2490
1789536779.6704595,2499
1789536779.6918092,2496
1789536779.7119231,2500
1789536779.732417,2497
1789536779.7475255,2499
1789536779.7728906,2498
1789536779.7891707,2502
1789536779.8103437,2496
1789536779.8301961,2497
1789536779.853001,2500
1789536779.8724115,2501
1789536779.8927238,2500
1789536779.9131734,2500
1789536779.9331236,2496
1789536779.9510236,2492
1789536779.9731262,2486
1789536779.9903812,2496
1789536780.012815,2499
1789536780.032101,2500
1789536780.0528705,2500
1789536780.0728385,2503
1789536780.0932019,2499
1789536780.1084092,2499
1789536780.1333697,2494
1789536780.151866,2496
1789536780.1707034,2500
1789536780.193461,2499
1789536780.212942,2499
1789536780.2325733,2500
1789536780.2534359,2497
1789536780.2680194,2499
1789536780.293406,2499
1789536780.3134043,2499
1789536780.3329418,2495
1789536780.3534906,2499
1789536780.3722925,2501
1789536780.3930275,2498
1789536780.4133735,2502
1789536780.433271,2497
