timestamp,whisker
1789351417.2171276,2411
1789351417.2523887,2413
1789351417.271019,2408
1789351417.291678,2412
1789351417.3124874,2413
1789351417.3324182,2410
1789351417.3495276,2411
1789351417.36824,2410
1789351417.388953,2411
1789351417.4121249,2410
1789351417.4327378,2411
1789351417.4524076,2413
1789351417.4721437,2415
1789351417.4920352,2412
1789351417.5128384,2408
1789351417.5278354,2418
1789351417.552631,2411
1789351417.5694935,2412
1789351417.5925336,2412
1789351417.6111333,2415
1789351417.6318357,2409
1789351417.652912,2415
1789351417.672772,2408
1789351417.6926546,2409
1789351417.7132633,2412
1789351417.7325308,2412
1789351417.7502267,2410
1789351417.7724462,2412
1789351417.7919855,2421
1789351417.8124254,2408
1789351417.832276,2409
1789351417.8531137,2412
1789351417.8696,2414
1789351417.889954,2412
1789351417.9129004,2410
1789351417.9324448,2416
1789351417.9516063,2409
1789351417.9720821,2411
1789351417.9925034,2411
1789351418.0127327,2406
1789351418.0328577,2412
1789351418.0507514,2411
1789351418.072579,2414
1789351418.090351,2412
1789351418.1131072,2408
1789351418.1317554,2413
1789351418.1521204,2412
1789351418.1734407,2412
1789351418.193204,2413
1789351418.2131605,2411
1789351418.2292771,2411
1789351418.2531972,2414
1789351418.2738435,2411
1789351418.2932954,2411
1789351418.312856,2414
1789351418.3329985,2413
1789351418.3530025,2411
1789351418.3686287,2413
1789351418.3932073,2410
1789351418.4101357,2411
1789351418.4304326,2410
1789351418.45122,2402
1789351418.4725616,2407
1789351418.4928644,2415
1789351418.5138507,2410
1789351418.5335672,2413
1789351418.5530553,2411
1789351418.570018,2413
1789351418.5903616,2413
1789351418.6134486,2408
1789351418.632449,2412
1789351418.6531017,2411
1789351418.6739037,2412
1789351418.693256,2414
1789351418.714034,2411
1789351418.7290392,2412
1789351418.74981,2415
1789351418.7709177,2411
1789351418.7914462,2412
1789351418.8123581,2412
1789351418.833603,2412
1789351418.8539677,2411
1789351418.873774,2420
1789351418.8887076,2412
1789351418.9094012,2414
1789351418.930214,2410
1789351418.9511282,2413
1789351418.972859,2412
1789351418.9934142,2414
1789351419.0136921,2410
1789351419.0344052,2415
1789351419.054196,2421
1789351419.0736933,2416
1789351419.0903883,2413
1789351419.112792,2415
1789351419.134303,2413
1789351419.1625035,2411
1789351419.1747124,2407
1789351419.1938417,2412
1789351419.214299,2407
1789351419.2289975,2411
1789351419.2495995,2412
1789351419.2735436,2414
1789351419.2907689,2409
1789351419.3146255,2413
1789351419.3327014,2415
1789351419.3531897,2409
1789351419.37454,2413
1789351419.3946092,2410
1789351419.4094296,2410
1789351419.4342644,2414
1789351419.4547436,2409
1789351419.4717638,2414
1789351419.4924583,2409
1789351419.5128114,2411
1789351419.5341368,2411
1789351419.5541313,2413
1789351419.5745862,2409
1789351419.5944698,2415
1789351419.6085317,2411
1789351419.6343937,2414
1789351419.6525245,2413
1789351419.6742022,2414
1789351419.693239,2409
1789351419.7141879,2412
1789351419.7350392,2412
1789351419.7497597,2413
1789351419.7747266,2409
1789351419.7944455,2407
1789351419.8150935,2412
1789351419.8328452,2413
1789351419.8530946,2415
1789351419.874369,2413
1789351419.8947625,2417
1789351419.9151511,2407
1789351419.9352815,2407
1789351419.954948,2410
1789351419.975056,2410
1789351419.9922614,2409
1789351420.0151305,2409
1789351420.0350137,2411
1789351420.0550482,2411
1789351420.0748959,2412
1789351420.0956533,2415
1789351420.1137884,2416
1789351420.1354227,2412
1789351420.1545646,2405
1789351420.173619,2417
1789351420.1944034,2411
1789351420.2147346,2414
1789351420.235505,2413
1789351420.2553911,2412
1789351420.2705123,2412
1789351420.2914333,2415
1789351420.3127046,2411
1789351420.3332748,2411
1789351420.3539484,2412
1789351420.3743222,2409
1789351420.39566,2411
1789351420.4150786,2410
1789351420.4298978,2409
1789351420.4506128,2408
1789351420.4716818,2410
1789351420.492398,2410
1789351420.5153105,2410
1789351420.5338976,2410
1789351420.5543935,2411
1789351420.5755718,2412
1789351420.5952706,2412
1789351420.6105454,2407
1789351420.6359425,2413
1789351420.6523347,2410
1789351420.6760473,2417
1789351420.6940672,2413
1789351420.71602,2409
1789351420.7354813,2412
1789351420.75549,2416
1789351420.7761164,2411
1789351420.7909913,2411
1789351420.8153636,2409
1789351420.8361943,2414
1789351420.853502,2410
1789351420.876235,2408
1789351420.895371,2413
1789351420.9160237,2411
1789351420.9357386,2412
1789351420.9508812,2412
1789351420.9763317,2411
1789351420.9924774,2411
1789351421.016425,2414
1789351421.0340493,2412
1789351421.0563645,2412
1789351421.0756874,2424
1789351421.0955713,2413
1789351421.1162655,2409
1789351421.1313992,2412
1789351421.1565404,2413
1789351421.172981,2414
1789351421.1965613,2414
1789351421.2145426,2413
1789351421.2353492,2411
1789351421.2566051,2416
1789351421.2762423,2411
1789351421.2963483,2411
1789351421.3119376,2412
1789351421.3367162,2411
1789351421.3557792,2415
1789351421.3743575,2409
1789351421.3950715,2413
1789351421.4159052,2408
1789351421.436714,2410
1789351421.4565268,2409
1789351421.471461,2411
1789351421.4956534,2412
1789351421.513096,2417
1789351421.5365787,2413
1789351421.554697,2412
1789351421.5770319,2411
1789351421.5961535,2411
1789351421.6167347,2411
1789351421.631165,2407
1789351421.6570144,2412
1789351421.672789,2412
1789351421.6969898,2412
1789351421.7144494,2413
1789351421.7369325,2417
1789351421.7564151,2411
1789351421.7769237,2412
1789351421.7968652,2413
1789351421.8116882,2412
1789351421.8371928,2410
1789351421.8534446,2412
1789351421.8765905,2411
1789351421.8952293,2413
1789351421.9172728,2415
1789351421.9366336,2415
1789351421.9566014,2413
1789351421.9772573,2413
1789351421.992181,2411
1789351422.0127609,2413
