timestamp,whisker
1786775793.8882716,489
1786775793.8882716,488
1786775793.9027092,489
1786775793.9235823,489
1786775793.9433498,488
1786775793.9621189,489
1786775793.9839017,488
1786775794.0001082,490
1786775794.020252,489
1786775794.0437973,488
1786775794.0638378,488
1786775794.0837393,490
1786775794.0930626,487
1786775794.1240346,488
1786775794.1436133,488
1786775794.1637821,488
1786775794.1804593,486
1786775794.2039196,489
1786775794.221953,489
1786775794.2429764,487
1786775794.2637079,489
1786775794.283539,491
1786775794.3038414,489
1786775794.323604,489
1786775794.3405428,488
1786775794.3639672,489
1786775794.3817956,489
1786775794.4039025,491
1786775794.42347,490
1786775794.4442046,488
1786775794.463955,488
1786775794.4813676,488
1786775794.5038488,489
1786775794.5216951,487
1786775794.5406694,488
1786775794.5534148,489
1786775794.5829875,488
1786775794.6035476,489
1786775794.624303,489
1786775794.6413462,489
1786775794.664261,488
1786775794.682305,488
1786775794.7043843,488
1786775794.7235048,487
1786775794.7442389,488
1786775794.76369,489
1786775794.7835863,488
1786775794.8044264,490
1786775794.8187096,489
1786775794.8408923,488
1786775794.8602264,491
1786775794.8837216,488
1786775794.902445,488
1786775794.9227262,487
1786775794.944241,489
1786775794.9640658,488
1786775794.9847968,487
1786775795.001815,489
1786775795.0239055,489
1786775795.0442855,489
1786775795.0629091,488
1786775795.0835977,487
1786775795.1038852,488
1786775795.1246784,487
1786775795.1445007,489
1786775795.1637495,488
1786775795.181025,489
1786775795.2019196,489
1786775795.2226353,489
1786775795.243054,487
1786775795.264523,488
1786775795.2844274,489
1786775795.3042698,490
1786775795.325137,491
1786775795.340754,487
1786775795.3610232,490
1786775795.3823605,490
1786775795.402531,488
1786775795.4233475,488
1786775795.444247,489
1786775795.4649582,488
1786775795.4848258,489
1786775795.5050793,489
1786775795.5204985,486
1786775795.5413258,489
1786775795.565206,490
1786775795.5851126,488
1786775795.6038666,487
1786775795.6248367,489
1786775795.6445017,490
1786775795.6634033,490
1786775795.6804552,488
1786775795.7013476,489
1786775795.7252853,489
1786775795.7441576,487
1786775795.7642245,489
1786775795.784728,488
1786775795.805274,489
1786775795.8255098,488
1786775795.845094,488
1786775795.8648243,487
1786775795.8854134,486
1786775795.9022176,488
1786775795.9255152,489
1786775795.9454916,490
1786775795.964715,487
1786775795.9849591,488
1786775796.0055273,489
1786775796.025605,490
1786775796.045491,488
1786775796.0648243,490
1786775796.0828614,490
1786775796.103475,488
1786775796.1252952,487
1786775796.145611,487
1786775796.165741,488
1786775796.1795278,488
1786775796.205721,487
1786775796.2246187,489
1786775796.2458127,488
1786775796.262785,487
1786775796.285847,487
1786775796.3049774,488
1786775796.3257673,488
1786775796.3455706,487
1786775796.365849,488
1786775796.3858688,489
1786775796.402175,488
1786775796.4258935,488
1786775796.443874,490
1786775796.4646156,489
1786775796.4851596,489
1786775796.5054996,489
1786775796.52539,489
1786775796.541013,489
1786775796.5660334,489
1786775796.5826762,488
1786775796.6061401,489
1786775796.6243074,488
1786775796.6446416,489
1786775796.66592,490
1786775796.6788023,488
1786775796.7055025,490
1786775796.7222738,489
1786775796.7415416,488
1786775796.7627432,488
1786775796.7863402,488
1786775796.806276,487
1786775796.826002,488
1786775796.8456645,487
1786775796.8663673,488
1786775796.8814008,489
1786775796.9063478,488
1786775796.9234486,489
1786775796.946449,488
1786775796.964551,489
1786775796.9853375,488
1786775797.0056791,488
1786775797.0261917,488
1786775797.0463028,489
1786775797.0618317,490
1786775797.086573,487
1786775797.105536,489
1786775797.1266148,490
