timestamp,headingDeg,encoderCount
1786866265.1509,-0.13,0
1786866265.1509,-0.13,0
1786866265.1617496,-0.13,0
1786866265.1806734,-0.13,0
1786866265.2041824,-0.13,0
1786866265.2246358,-0.13,0
1786866265.2427185,-0.13,0
1786866265.2651167,-0.13,0
1786866265.2843533,-0.13,0
1786866265.3063154,-0.13,0
1786866265.326492,-0.13,0
1786866265.3433757,-0.13,0
1786866265.3676624,-0.13,0
1786866265.3871818,-0.13,0
1786866265.409191,-0.13,0
1786866265.4237583,-0.13,0
1786866265.4452257,-0.12,0
1786866265.4647021,-0.12,0
1786866265.4856186,-0.12,0
1786866265.5079582,-0.12,0
1786866265.5303178,-0.12,0
1786866265.5516465,-0.12,0
1786866265.5709946,-0.12,0
1786866265.5909724,-0.12,0
1786866265.6105525,-0.12,0
1786866265.6339867,-0.12,0
1786866265.652922,-0.12,0
1786866265.6743693,-0.11,0
1786866265.6938758,-0.11,0
1786866265.7161474,-0.11,0
1786866265.7360308,-0.11,0
1786866265.756296,-0.11,0
1786866265.7776184,-0.12,0
1786866265.7979524,-0.12,0
1786866265.8175297,-0.12,0
1786866265.8376703,-0.12,0
1786866265.856429,-0.12,0
1786866265.8796864,-0.12,0
1786866265.8999045,-0.11,0
1786866265.91933,-0.12,0
1786866265.939603,-0.11,0
1786866265.960201,-0.11,0
1786866265.9798312,-0.11,0
1786866266.0009732,-0.11,0
1786866266.023076,-0.11,0
1786866266.0423763,-0.12,0
1786866266.0642588,-0.12,0
1786866266.0839288,-0.12,0
1786866266.103972,-0.12,0
1786866266.1255877,-0.12,0
1786866266.145195,-0.12,0
1786866266.1655095,-0.12,0
1786866266.1812224,-0.12,0
1786866266.2073717,-0.12,0
1786866266.2250745,-0.12,0
1786866266.2434986,-0.12,0
1786866266.2685785,-0.12,0
1786866266.2851794,-0.12,0
1786866266.3075862,-0.12,0
1786866266.3279757,-0.12,0
1786866266.3487406,-0.12,0
1786866266.3694263,-0.12,0
1786866266.3904276,-0.12,0
1786866266.4108777,-0.12,0
1786866266.432831,-0.12,0
1786866266.4528224,-0.12,0
1786866266.4737666,-0.12,0
1786866266.4946043,-0.12,0
1786866266.5140774,-0.12,0
1786866266.5340319,-0.12,0
1786866266.5555274,-0.12,0
1786866266.5756905,-0.12,0
1786866266.5961754,-0.12,0
1786866266.6170082,-0.12,0
1786866266.6377404,-0.12,0
1786866266.6539516,-0.13,0
1786866266.6748333,-0.13,0
1786866266.6957579,-0.12,0
1786866266.7197285,-0.12,0
1786866266.7401977,-0.13,0
1786866266.760688,-0.12,0
1786866266.7797527,-0.12,0
1786866266.8008454,-0.12,0
1786866266.8205235,-0.12,0
1786866266.8414958,-0.12,0
1786866266.8621716,-0.12,0
1786866266.8829243,-0.12,0
1786866266.9039307,-0.13,0
1786866266.9247482,-0.12,0
1786866266.945346,-0.13,0
1786866266.9655387,-0.13,0
1786866266.9851208,-0.13,0
1786866267.00129,-0.13,0
1786866267.026971,-0.13,0
1786866267.0426989,-0.12,0
1786866267.0636556,-0.12,0
1786866267.087476,-0.12,0
1786866267.1062055,-0.12,0
1786866267.1257992,-0.13,0
1786866267.1458507,-0.13,0
1786866267.167581,-0.13,0
1786866267.1896093,-0.13,0
1786866267.2112892,-0.13,0
1786866267.231574,-0.13,0
1786866267.2503953,-0.13,0
1786866267.2726803,-0.13,0
1786866267.2923641,-0.13,0
1786866267.3124855,-0.13,0
